Date,HomeTeam,AwayTeam,home_points_avg,away_points_avg,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_games_history,away_games_history,home_home_points_avg,away_away_points_avg,home_home_goals_avg,away_away_goals_avg,home_home_conceded_avg,away_away_conceded_avg,home_home_wins,away_away_wins,home_home_games,away_away_games,FTR
2010-09-26,Wolfsburg,Freiburg,1.2,1.8,1.8,1.4,1.8,1.4,2,3,0,0,3,2,5,5,1.5,3.0,2.5,1.5,2.0,0.5,1,2,2,2,H
2010-10-01,Hannover,St Pauli,2.0,0.8,1.8,0.8,1.2,1.4,3,1,1,1,1,3,5,5,2.3333333333333335,2.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,1.0,2,2,3,3,A
2010-10-02,Nurnberg,Schalke 04,1.0,0.8,0.8,1.2,1.2,2.0,1,1,2,1,2,3,5,5,1.5,1.0,1.5,1.0,1.5,1.6666666666666667,1,1,2,3,H
2010-10-02,M'gladbach,Wolfsburg,0.8,1.8,1.8,2.0,3.6,1.6,1,3,1,0,3,2,5,5,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.6666666666666667,0,1,3,3,D
2010-10-02,Hamburg,Kaiserslautern,1.0,0.8,1.6,1.0,1.8,2.0,1,1,2,1,2,3,5,5,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665,1,1,3,3,H
2010-10-02,Freiburg,FC Koln,1.8,1.0,1.4,0.8,1.2,1.4,3,1,0,2,2,2,5,5,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,2.0,1,0,3,3,H
2010-10-02,Mainz,Hoffenheim,3.0,1.6,2.4,1.4,1.0,1.0,5,2,0,2,0,1,5,5,3.0,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,1.0,3,1,3,3,H
2010-10-03,Dortmund,Bayern Munich,3.0,1.0,3.2,0.6,0.6,1.0,5,1,0,2,0,2,5,5,2.0,1.5,2.3333333333333335,1.0,0.6666666666666666,1.5,2,1,3,2,H
2010-10-03,Leverkusen,Werder Bremen,1.6,1.4,2.2,1.6,2.0,2.0,2,2,2,1,1,2,5,5,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.6666666666666665,1,0,3,3,D
2010-10-03,Stuttgart,Ein Frankfurt,0.6,1.2,2.2,1.6,2.2,1.2,1,2,0,0,4,3,5,5,1.0,1.0,3.0,2.0,2.3333333333333335,1.3333333333333333,1,1,3,3,A
2010-10-15,FC Koln,Dortmund,1.0,3.0,0.8,3.0,1.2,0.4,1,5,2,0,2,0,5,5,1.3333333333333333,3.0,1.0,3.0,1.3333333333333333,1.0,1,3,3,3,A
2010-10-16,Schalke 04,Stuttgart,0.8,0.6,1.2,2.2,2.0,2.0,1,1,1,0,3,4,5,5,0.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.0,0,0,3,3,D
2010-10-16,Bayern Munich,Hannover,1.0,1.4,0.6,1.4,1.0,1.2,1,2,2,1,2,2,5,5,1.25,2.0,0.75,1.0,0.75,1.0,1,2,4,3,H
2010-10-16,Mainz,Hamburg,3.0,1.0,2.4,1.4,0.8,1.8,5,1,0,2,0,2,5,5,3.0,1.3333333333333333,2.5,2.0,0.75,1.6666666666666667,4,1,4,3,A
2010-10-16,St Pauli,Nurnberg,1.4,1.6,1.0,1.0,1.2,1.0,2,2,1,2,2,1,5,5,0.3333333333333333,0.75,0.6666666666666666,0.5,1.6666666666666667,1.0,0,0,3,4,H
2010-10-16,Werder Bremen,Freiburg,1.0,1.8,1.2,1.6,2.0,1.4,1,3,2,0,2,2,5,5,2.0,2.0,2.3333333333333335,1.3333333333333333,2.0,1.0,2,2,3,3,H
2010-10-16,Wolfsburg,Leverkusen,2.0,1.8,1.6,2.0,1.0,1.2,3,2,1,3,1,0,5,5,2.0,2.3333333333333335,2.3333333333333335,2.6666666666666665,1.6666666666666667,1.0,2,2,3,3,A
2010-10-17,Hoffenheim,M'gladbach,1.0,0.4,1.6,0.8,1.8,3.2,1,0,2,2,2,3,5,5,2.0,1.3333333333333333,2.3333333333333335,2.6666666666666665,1.0,4.0,2,1,3,3,H
2010-10-17,Kaiserslautern,Ein Frankfurt,0.2,1.8,0.8,1.8,2.4,0.8,0,3,1,0,4,2,5,5,1.3333333333333333,1.5,1.3333333333333333,2.0,1.0,1.25,1,2,3,4,A
2010-10-22,Hamburg,Bayern Munich,1.4,1.4,1.4,1.2,1.6,1.0,2,2,1,1,2,2,5,5,1.75,1.0,1.5,0.6666666666666666,1.5,1.6666666666666667,2,1,4,3,D
2010-10-23,Nurnberg,Wolfsburg,1.4,2.0,1.2,2.0,1.4,1.2,2,3,1,1,2,1,5,5,2.0,1.0,1.6666666666666667,1.25,1.3333333333333333,1.5,2,1,3,4,H
2010-10-23,M'gladbach,Werder Bremen,0.4,1.4,1.2,1.6,3.0,2.2,0,2,2,1,3,2,5,5,0.5,0.5,0.75,1.0,2.0,2.5,0,0,4,4,A
2010-10-23,Ein Frankfurt,Schalke 04,1.8,1.0,1.6,1.6,0.8,2.0,3,1,0,2,2,2,5,5,1.0,0.75,1.0,1.0,1.3333333333333333,1.75,1,1,3,4,D
2010-10-23,Freiburg,Kaiserslautern,1.2,0.2,1.4,0.6,1.6,2.6,2,0,0,1,3,4,5,5,1.5,0.75,1.75,1.25,2.0,2.5,2,1,4,4,H
2010-10-23,Hannover,FC Koln,1.2,0.4,1.0,0.8,1.4,1.6,2,0,0,2,3,3,5,5,1.75,0.25,2.0,1.0,1.25,2.25,2,0,4,4,H
2010-10-24,Dortmund,Hoffenheim,3.0,1.0,3.0,1.8,0.6,2.2,5,1,0,2,0,2,5,5,2.25,1.25,2.25,1.5,0.5,1.75,3,1,4,4,D
2010-10-24,Leverkusen,Mainz,2.2,2.4,2.2,2.0,1.2,0.8,3,4,2,0,0,1,5,5,1.25,3.0,1.75,2.6666666666666665,2.25,1.3333333333333333,1,3,4,3,A
2010-10-24,Stuttgart,St Pauli,0.8,2.0,2.4,1.6,2.0,1.4,1,3,1,1,3,1,5,5,0.75,2.25,2.5,1.5,2.25,0.75,1,3,4,4,H
2010-10-29,Bayern Munich,Freiburg,1.4,1.2,1.2,1.6,1.0,1.8,2,2,1,0,2,3,5,5,1.6,1.5,1.2,1.25,0.6,1.25,2,2,5,4,H
2010-10-30,FC Koln,Hamburg,0.2,1.4,1.0,1.2,2.0,1.4,0,2,1,1,4,2,5,5,1.0,1.75,1.0,1.75,1.5,1.25,1,2,4,4,H
2010-10-30,Kaiserslautern,M'gladbach,0.0,0.4,0.4,1.4,2.6,2.4,0,0,0,2,5,3,5,5,1.0,1.0,1.0,2.5,1.5,3.75,1,1,4,4,H
2010-10-30,Schalke 04,Leverkusen,1.2,2.0,1.4,2.2,1.4,1.4,1,3,3,1,1,1,5,5,0.5,2.5,1.5,2.75,2.25,1.25,0,3,4,4,A
2010-10-30,St Pauli,Ein Frankfurt,1.8,2.0,1.4,1.6,1.6,0.6,3,3,0,1,2,1,5,5,1.0,1.8,1.25,2.2,1.75,1.0,1,3,4,5,A
2010-10-30,Werder Bremen,Nurnberg,2.0,1.8,2.4,1.6,2.0,1.6,3,3,1,0,1,2,5,5,2.25,0.6,2.25,0.8,1.75,1.4,3,0,4,5,A
2010-10-30,Wolfsburg,Stuttgart,1.4,0.8,1.8,1.4,1.6,2.0,2,1,1,1,2,3,5,5,1.5,0.25,2.25,1.0,2.0,2.0,2,0,4,4,H
2010-10-31,Hoffenheim,Hannover,1.0,1.8,1.6,1.4,2.0,1.2,1,3,2,0,2,2,5,5,2.25,1.5,2.5,0.75,1.25,1.5,3,2,4,4,H
2010-10-31,Mainz,Dortmund,2.4,2.6,1.8,2.6,0.8,0.6,4,4,0,1,1,0,5,5,2.4,3.0,2.0,2.75,0.8,1.0,4,4,5,4,A
2010-11-05,Schalke 04,St Pauli,0.6,1.2,1.0,1.2,1.4,2.0,0,2,3,0,2,3,5,5,0.4,1.8,1.2,1.2,2.0,1.0,0,3,5,5,H
2010-11-06,Nurnberg,FC Koln,1.8,0.8,1.8,1.6,1.8,2.0,3,1,0,1,2,3,5,5,2.25,0.2,1.75,1.0,1.25,2.2,3,0,4,5,H
2010-11-06,M'gladbach,Bayern Munich,0.4,1.4,1.2,1.6,2.6,1.2,0,2,2,1,3,2,5,5,0.4,1.0,0.8,0.5,2.4,1.25,0,1,5,4,D
2010-11-06,Hamburg,Hoffenheim,1.4,1.6,1.4,2.2,1.4,1.6,2,2,1,2,2,1,5,5,1.6,1.2,1.2,1.4,1.2,1.6,2,1,5,5,H
2010-11-06,Ein Frankfurt,Wolfsburg,2.6,1.4,2.0,1.6,0.4,1.4,4,2,1,1,0,2,5,5,1.0,0.8,0.75,1.2,1.0,1.6,1,1,4,5,H
2010-11-06,Freiburg,Mainz,1.2,1.8,1.8,1.4,2.2,1.2,2,3,0,0,3,2,5,5,1.8,3.0,1.8,2.25,1.8,1.0,3,4,5,4,H
2010-11-07,Hannover,Dortmund,1.2,2.6,0.6,2.0,1.8,0.6,2,4,0,1,3,0,5,5,2.0,3.0,2.0,2.6,1.2,0.8,3,5,5,5,A
2010-11-07,Leverkusen,Kaiserslautern,2.0,0.6,2.0,1.0,1.2,1.6,3,1,1,0,1,4,5,5,1.0,0.6,1.4,1.2,2.0,2.4,1,1,5,5,H
2010-11-07,Stuttgart,Werder Bremen,0.8,2.0,1.2,2.6,2.0,1.8,1,3,1,1,3,1,5,5,1.2,1.0,2.4,1.6,1.8,2.2,2,1,5,5,H
2010-11-12,Dortmund,Hamburg,2.6,2.0,2.2,1.4,0.4,1.0,4,3,1,1,0,1,5,5,2.0,1.4,2.0,1.8,0.6,1.6,3,2,5,5,H
2010-11-13,Wolfsburg,Schalke 04,0.8,1.0,1.4,1.2,1.8,1.0,1,1,1,2,3,2,5,5,1.8,0.8,2.2,0.8,1.6,1.4,3,1,5,5,D
2010-11-13,Werder Bremen,Ein Frankfurt,1.4,2.6,2.0,2.2,2.6,0.6,2,4,1,1,2,0,5,5,1.8,2.4,2.2,2.6,2.0,0.8,3,4,5,5,D
2010-11-13,St Pauli,Leverkusen,1.2,2.0,1.0,1.8,2.0,1.2,2,3,0,1,3,1,5,5,0.8,2.6,1.2,2.4,2.0,1.0,1,4,5,5,A
2010-11-13,Kaiserslautern,Stuttgart,0.6,1.4,1.2,2.2,2.0,1.2,1,2,0,1,4,2,5,5,1.4,0.2,1.4,0.8,1.2,2.0,2,0,5,5,D
